date,minimum_temperature_(celsius),maximum_temperature_(celsius),rainfall_(mm),evaporation_(mm),sunshine_(hours),direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_(km/h),time_of_maximum_wind_gust,9am_temperature_(celsius),9am_relative humidity_(percentage),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_temperature_(celsius),3pm_relative_humidity_(percentage),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
03/04/2023,8.8,22.6,0.0,3.4,8.8,SSW,19.0,14:58:00,13.3,78.0,1.0,NE,7.0,1020.4,20.7,63.0,6.0,SSW,11.0,1016.5
04/04/2023,12.0,21.7,0.0,5.0,10.1,SSW,28.0,15:07:00,16.6,81.0,1.0,N,7.0,1019.3,20.7,73.0,6.0,SSW,11.0,1016.3
05/04/2023,13.8,18.4,0.0,4.0,0.2,SSW,22.0,14:31:00,16.8,76.0,7.0,SSE,2.0,1018.8,18.0,68.0,7.0,S,9.0,1016.4
06/04/2023,13.4,26.3,0.0,1.2,2.8,NNW,43.0,12:31:00,17.0,79.0,7.0,NE,6.0,1012.3,24.2,40.0,7.0,N,17.0,1007.4
07/04/2023,16.1,19.9,4.4,5.2,0.2,N,41.0,12:40:00,17.9,71.0,7.0,NNW,13.0,999.3,18.0,62.0,7.0,NNW,17.0,997.3
08/04/2023,13.7,18.0,11.2,1.4,2.1,SW,35.0,00:01:00,14.9,79.0,7.0,W,13.0,1006.1,15.0,76.0,7.0,SSW,15.0,1005.7
09/04/2023,10.5,15.5,7.8,3.8,0.6,SSW,43.0,14:27:00,11.7,84.0,7.0,W,9.0,1012.5,14.1,60.0,7.0,SSW,17.0,1012.8
10/04/2023,10.1,15.2,14.8,2.6,0.7,S,35.0,10:47:00,13.4,70.0,7.0,S,15.0,1014.5,14.9,64.0,7.0,SSW,13.0,1013.4
11/04/2023,11.9,19.1,6.0,1.4,6.5,SSW,19.0,13:33:00,14.7,81.0,7.0,ESE,2.0,1016.0,18.8,61.0,7.0,S,9.0,1010.9
12/04/2023,12.6,19.3,7.0,4.2,3.8,N,41.0,11:58:00,13.3,88.0,7.0,N,13.0,1004.8,18.6,64.0,4.0,N,20.0,1004.3
13/04/2023,11.2,22.8,4.4,2.0,7.8,E,28.0,13:57:00,15.3,89.0,4.0,SSW,4.0,1015.7,22.2,52.0,3.0,E,11.0,1015.2
14/04/2023,10.8,25.4,0.0,2.8,7.5,NNW,20.0,14:57:00,14.1,93.0,7.0,NE,9.0,1015.5,24.5,44.0,5.0,N,11.0,1010.0
15/04/2023,13.8,21.2,0.0,6.0,0.6,NNW,54.0,09:50:00,20.6,51.0,6.0,N,20.0,1001.1,18.5,69.0,7.0,N,15.0,999.5
16/04/2023,12.1,17.2,38.4,3.0,4.3,SSW,35.0,12:53:00,12.7,93.0,7.0,WSW,9.0,1004.3,16.4,68.0,5.0,SSW,9.0,1009.5
17/04/2023,8.7,20.7,2.0,3.0,4.4,N,24.0,11:00:00,14.8,66.0,2.0,N,7.0,1022.7,19.6,57.0,7.0,WSW,2.0,1021.9
18/04/2023,13.4,22.8,0.0,2.6,9.3,NNW,35.0,14:45:00,16.8,70.0,3.0,NNE,7.0,1023.6,22.3,48.0,3.0,NNW,17.0,1019.1
19/04/2023,14.4,17.5,1.2,3.4,6.0,SW,28.0,11:32:00,14.8,66.0,6.0,WSW,9.0,1022.0,15.8,53.0,5.0,SSW,9.0,1022.1
20/04/2023,7.8,18.5,0.0,4.0,4.9,SSW,17.0,12:47:00,12.4,72.0,2.0,NNE,7.0,1026.8,17.5,58.0,7.0,SW,4.0,1025.5
21/04/2023,11.3,19.0,0.0,2.8,0.5,SSW,13.0,10:48:00,14.8,78.0,7.0,NE,6.0,1030.5,18.6,64.0,7.0,SSE,2.0,1029.2
22/04/2023,14.6,19.2,0.0,0.0,4.8,SSW,22.0,16:09:00,15.2,84.0,7.0,SW,6.0,1031.9,18.8,64.0,2.0,SSW,11.0,1029.7
