date,minimum_temperature_(celsius),maximum_temperature_(celsius),rainfall_(mm),evaporation_(mm),sunshine_(hours),direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_(km/h),time_of_maximum_wind_gust,9am_temperature_(celsius),9am_relative humidity_(percentage),9am_cloud_amount_(oktas),9am_wind_direction,9am_wind_speed_(km/h),9am_MSL_pressure_(hPa),3pm_temperature_(celsius),3pm_relative_humidity_(percentage),3pm_cloud_amount_(oktas),3pm_wind_direction,3pm_wind_speed_(km/h),3pm_MSL_pressure_(hPa)
19/07/2023,4.7,14.3,0.8,0.8,7.0,W,19.0,00:12:00,6.6,78.0,7.0,NE,9.0,1026.3,13.1,48.0,7.0,SSW,6.0,1022.9
20/07/2023,5.8,13.4,0.0,2.2,2.5,NNW,59.0,10:29:00,9.1,66.0,6.0,N,28.0,1014.9,10.9,68.0,7.0,N,19.0,1010.7
21/07/2023,6.7,13.9,0.4,1.8,7.2,NNW,26.0,00:06:00,9.0,73.0,1.0,W,7.0,1021.3,13.2,57.0,6.0,S,7.0,1021.8
22/07/2023,5.7,15.8,0.0,1.6,5.9,N,24.0,12:32:00,9.3,73.0,1.0,NNE,4.0,1023.8,14.1,48.0,7.0,NNW,7.0,1021.2
23/07/2023,7.2,13.1,0.0,2.0,0.8,SSW,22.0,14:43:00,10.6,80.0,7.0,WNW,6.0,1026.5,13.0,81.0,7.0,SSW,11.0,1026.9
24/07/2023,6.1,13.5,1.4,0.4,1.1,SSW,20.0,13:22:00,9.6,84.0,7.0,WNW,7.0,1032.6,12.7,77.0,7.0,SSW,2.0,1031.4
25/07/2023,9.6,14.8,0.0,1.2,5.1,SSW,17.0,14:21:00,11.2,90.0,7.0,NNE,7.0,1037.0,14.1,57.0,2.0,SSW,9.0,1035.5
26/07/2023,4.9,14.7,0.0,1.8,8.3,N,22.0,09:38:00,8.6,85.0,4.0,NE,6.0,1035.8,14.2,57.0,7.0,SSW,7.0,1032.4
27/07/2023,6.8,17.2,0.0,1.4,8.6,N,43.0,11:59:00,9.7,78.0,1.0,N,15.0,1027.9,16.7,52.0,1.0,N,22.0,1022.0
28/07/2023,9.6,18.9,7.2,3.6,7.6,N,50.0,01:11:00,13.0,78.0,5.0,N,19.0,1015.8,18.4,50.0,2.0,NW,20.0,1015.5
29/07/2023,11.1,18.8,0.0,2.8,8.5,NNW,50.0,13:04:00,12.9,82.0,3.0,NNW,11.0,1019.7,18.1,49.0,5.0,NNW,22.0,1016.5
30/07/2023,10.1,17.9,0.0,4.0,6.4,NW,46.0,13:54:00,12.1,72.0,1.0,N,19.0,1017.9,16.7,53.0,7.0,NNW,22.0,1015.4
31/07/2023,10.6,16.9,3.0,1.8,6.7,N,41.0,14:48:00,12.7,64.0,1.0,NNW,11.0,1022.1,16.2,50.0,5.0,NNW,19.0,1020.5
01/08/2023,11.5,14.9,0.0,2.8,1.4,NNW,35.0,02:08:00,13.3,67.0,7.0,W,11.0,1028.8,14.7,54.0,7.0,SSW,9.0,1030.1
02/08/2023,5.8,17.1,0.0,3.0,8.1,N,43.0,14:23:00,7.9,83.0,6.0,NNE,11.0,1033.9,16.8,50.0,1.0,N,20.0,1029.6
03/08/2023,7.8,19.8,0.0,2.6,9.7,N,48.0,12:34:00,13.5,67.0,2.0,N,20.0,1029.3,19.6,45.0,1.0,N,22.0,1024.5
04/08/2023,13.4,18.2,0.0,5.0,3.4,N,61.0,10:32:00,16.2,55.0,7.0,N,22.0,1022.2,16.1,63.0,7.0,N,33.0,1020.2
05/08/2023,9.3,13.6,0.0,2.8,3.0,SSW,26.0,10:45:00,11.0,65.0,7.0,SW,9.0,1033.5,13.0,57.0,7.0,SW,7.0,1033.5
06/08/2023,8.6,13.4,0.0,0.6,0.8,S,20.0,13:12:00,9.9,91.0,8.0,WNW,4.0,1035.4,12.2,77.0,7.0,SSW,11.0,1033.6
07/08/2023,9.0,13.7,0.0,1.4,2.6,SW,19.0,13:06:00,10.6,84.0,7.0,NA,0.0,1033.8,13.3,63.0,7.0,SSW,11.0,1032.2
08/08/2023,4.7,14.2,0.0,1.0,7.3,SSW,15.0,13:52:00,6.3,100.0,7.0,NE,7.0,1034.0,13.3,67.0,1.0,SSW,9.0,1030.3
09/08/2023,5.5,18.4,0.2,2.4,8.5,NA,0.0,00:00:00,11.4,74.0,7.0,N,13.0,1027.0,18.2,47.0,1.0,N,24.0,1020.9
10/08/2023,10.6,14.5,2.8,4.0,3.5,N,50.0,00:50:00,11.9,72.0,3.0,WNW,11.0,1019.4,13.8,60.0,7.0,SW,6.0,1020.8
11/08/2023,8.2,15.7,0.0,2.8,3.3,NNW,30.0,15:49:00,12.3,67.0,6.0,N,7.0,1022.7,14.8,51.0,7.0,NNW,15.0,1019.8
12/08/2023,11.0,16.0,0.0,3.2,2.2,NNW,33.0,04:39:00,11.2,78.0,7.0,N,13.0,1019.3,12.9,87.0,7.0,S,2.0,1017.2
13/08/2023,7.2,12.9,3.4,2.0,5.9,SSW,24.0,14:54:00,8.8,96.0,7.0,WNW,2.0,1021.7,11.4,69.0,7.0,SSW,15.0,1019.7
14/08/2023,3.4,12.7,0.0,1.0,6.5,SSW,26.0,12:03:00,5.9,90.0,7.0,NE,2.0,1020.0,12.3,52.0,6.0,S,11.0,1018.7
15/08/2023,3.4,13.1,0.0,1.2,9.7,SSW,20.0,14:15:00,7.4,77.0,2.0,NE,6.0,1024.4,12.7,54.0,2.0,S,13.0,1022.8
16/08/2023,1.6,15.8,0.0,2.6,10.2,N,35.0,13:36:00,5.3,78.0,0.0,NE,9.0,1022.1,15.2,39.0,1.0,N,17.0,1016.7
17/08/2023,5.3,12.5,0.0,3.2,0.1,N,44.0,13:25:00,11.1,61.0,7.0,N,15.0,1012.6,12.1,53.0,7.0,N,17.0,1008.1
18/08/2023,8.9,13.5,5.4,2.6,4.0,WSW,37.0,10:57:00,10.1,77.0,7.0,W,13.0,1005.2,11.9,55.0,4.0,SSW,17.0,1009.0
19/08/2023,9.4,18.2,0.2,2.2,4.2,W,35.0,12:19:00,13.5,76.0,7.0,WNW,9.0,1016.0,17.4,60.0,7.0,W,13.0,1016.9
20/08/2023,12.9,19.2,0.0,3.0,7.1,WNW,28.0,04:48:00,13.5,67.0,7.0,NNW,9.0,1023.6,19.0,41.0,4.0,W,9.0,1021.6
21/08/2023,11.5,17.8,0.0,3.0,6.2,N,48.0,12:13:00,14.6,73.0,6.0,N,13.0,1020.9,16.4,64.0,6.0,N,24.0,1016.8
22/08/2023,13.2,14.3,0.0,3.0,0.6,NNW,39.0,01:35:00,14.3,77.0,8.0,W,7.0,1015.7,11.7,97.0,8.0,SSW,13.0,1015.9
23/08/2023,5.6,17.0,3.6,1.4,6.7,NW,24.0,11:05:00,10.2,70.0,1.0,N,9.0,1026.0,15.9,50.0,5.0,W,7.0,1025.1
24/08/2023,8.6,17.9,0.0,2.2,10.1,N,39.0,14:20:00,11.4,72.0,5.0,N,9.0,1028.8,16.8,48.0,4.0,N,22.0,1024.6
25/08/2023,11.1,19.8,0.0,3.8,7.8,N,39.0,07:38:00,13.7,63.0,6.0,N,15.0,1026.5,18.6,43.0,6.0,S,9.0,1025.0
26/08/2023,11.1,15.5,0.0,2.8,0.4,SSE,22.0,04:27:00,12.1,65.0,7.0,ESE,9.0,1030.4,14.6,62.0,7.0,SW,7.0,1027.1
27/08/2023,8.9,15.7,0.0,1.6,6.5,SSW,20.0,13:44:00,10.6,77.0,7.0,NA,0.0,1028.0,15.3,67.0,4.0,SW,9.0,1024.3
28/08/2023,9.5,16.6,0.0,1.8,5.5,SW,20.0,13:47:00,11.8,93.0,8.0,NA,0.0,1023.8,14.9,77.0,1.0,SSW,11.0,1020.7
29/08/2023,10.8,18.4,0.2,2.8,1.3,N,41.0,18:12:00,16.6,66.0,7.0,N,15.0,1017.0,17.5,66.0,7.0,N,17.0,1013.6
30/08/2023,12.7,14.9,3.8,3.8,2.7,N,44.0,02:19:00,12.8,100.0,7.0,SW,6.0,1011.7,12.1,84.0,7.0,W,13.0,1013.5
31/08/2023,6.9,15.8,2.8,1.4,5.8,SSW,39.0,15:51:00,11.4,73.0,3.0,NNW,11.0,1018.8,13.7,84.0,7.0,SW,13.0,1018.0
